tag,profile,cls,p,coverage,coverage_sd,false_rate,false_rate_sd,chain_cov,chain_cov_sd,recloss,recloss_sd,irrec,irrec_sd,error_links,error_links_sd,irrec_links,irrec_links_sd,no_cert_links,no_cert_links_sd,fallback,fallback_sd,candidates,candidates_sd,ed_effort,ed_effort_sd,ed_error,ed_error_sd,ed_abstention,ed_abstention_sd,ed,ed_sd,secs,secs_sd
main,dense,ids_plus_timestamps,0.1,0.928951388888889,0.004637718931849812,0.0009039959797958753,0.0006085042353067169,0.872625,0.007190367785370152,0.0,0.0,0.12737500000000002,0.007190367785370155,0.0008402777777777778,0.0005654725263332311,0.022041666666666668,0.0012316720015605619,0.07020833333333333,0.0045539996986561845,0.1385,0.008427537707590844,18.66875,1.2249295092500543,0.3251875,0.020179419539551095,0.12604166666666666,0.08482087894998468,21.0625,1.366199909596855,21.513729166666668,1.391996543232279,0.011618483066558837,0.0012593796281584865
main,dense,ids_plus_timestamps,0.2,0.8230208333333333,0.009781655742642769,0.006985324878253752,0.002473992573924211,0.7067916666666667,0.01638640455945003,0.0,0.0,0.29320833333333335,0.01638640455945003,0.005791666666666666,0.002069446897443501,0.05468055555555556,0.0030184818938449477,0.1711875,0.009824490832949343,0.33695833333333336,0.01750579477993481,40.6375,2.4214298190162467,0.7433333333333333,0.040371764712047356,0.86875,0.31041703461652514,51.35625,2.947347249884803,52.968333333333334,2.959352236816312,0.015150610497221351,0.0019275962603114887
main,dense,ids_plus_timestamps,0.4,0.5517083333333334,0.012814758652087099,0.04652975292401472,0.005818521054925823,0.34879166666666667,0.012215998880769872,0.0,0.0,0.6512083333333334,0.012215998880769876,0.02688888888888889,0.0031008734018742106,0.153875,0.004093137769867868,0.4214027777777778,0.011227632807788865,0.8624166666666666,0.024293978027919855,83.94375,2.958171943954577,1.7018541666666667,0.05242100625636467,4.033333333333333,0.46513101028113174,126.42083333333333,3.3682898423366576,132.15602083333334,3.6188112842506355,0.01932016876526177,0.0009687073511144155
main,dense,intent_links,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070509353652596475,0.000396473957419957
main,dense,intent_links,0.01,0.9992708333333333,0.00030520647257747566,0.0,0.0,0.995625,0.0018312388354648362,0.0,0.0,0.004375,0.001831238835464839,0.0,0.0,0.0007291666666666667,0.00030520647257747317,0.0007291666666666667,0.00030520647257747317,0.009791666666666667,0.0030573824947654565,1.46875,0.45860737421481845,0.024479166666666666,0.0076434562369136405,0.0,0.0,0.21875,0.09156194177324195,0.24322916666666666,0.0954054018287194,0.007126812567003071,0.00018596924752872126
main,dense,intent_links,0.05,0.9963958333333334,0.0008673315694312344,0.0,0.0,0.978375,0.005203989416587348,0.0,0.0,0.021625,0.0052039894165873575,0.0,0.0,0.0036041666666666665,0.0008673315694312261,0.0036041666666666665,0.0008673315694312261,0.050708333333333334,0.0059926551047660296,7.60625,0.8988982657149046,0.12677083333333333,0.014981637761915075,0.0,0.0,1.08125,0.26019947082936784,1.2080208333333333,0.26997864041974645,0.008596002170816065,0.0004777691032416142
main,dense,intent_links,0.1,0.9932361111111111,0.0007568455190467234,0.0,0.0,0.9594166666666667,0.004541073114280342,0.0,0.0,0.04058333333333333,0.004541073114280343,0.0,0.0,0.006763888888888889,0.0007568455190467236,0.006763888888888889,0.0007568455190467236,0.10179166666666667,0.009797940319420403,15.26875,1.4696910479130603,0.25447916666666665,0.024494850798551,0.0,0.0,2.029166666666667,0.22705365571401712,2.2836458333333334,0.24745716575850837,0.009542252006940543,0.00037167659193864717
main,dense,intent_links,0.2,0.9864444444444445,0.0014941134223272318,0.0,0.0,0.9186666666666666,0.008964680533963489,0.0,0.0,0.08133333333333334,0.00896468053396346,0.0,0.0,0.013555555555555555,0.0014941134223272433,0.013555555555555555,0.0014941134223272433,0.19233333333333333,0.010132888956092004,28.85,1.5199333434138,0.48083333333333333,0.025332222390230003,0.0,0.0,4.066666666666666,0.4482340266981731,4.5475,0.4666375891630281,0.011770947906188666,0.0007896884609868201
main,dense,intent_links,0.4,0.9719791666666666,0.0018984081384251924,0.0,0.0,0.831875,0.011390448830551132,0.0,0.0,0.168125,0.011390448830551127,0.0,0.0,0.028020833333333335,0.0018984081384251874,0.028020833333333335,0.0018984081384251874,0.40108333333333335,0.014895101043219519,60.1625,2.234265156482928,1.0027083333333333,0.03723775260804881,0.0,0.0,8.40625,0.5695224415275563,9.408958333333333,0.5939721806523343,0.017003518692217768,0.0014902075865566794
main,dense,source_artifacts,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070670916931703685,0.00032244209352774223
main,dense,source_artifacts,0.01,0.9683055555555555,0.004673727601669447,0.004272144227965179,0.0014513156500181796,0.9417916666666667,0.007103428667228903,0.058208333333333334,0.007103428667228901,0.058208333333333334,0.007103428667228901,0.004152777777777778,0.0014076943254272768,0.013173611111111112,0.0017065613878880182,0.027541666666666666,0.00406106431121585,0.059583333333333335,0.007150737090375544,8.792416666666666,1.0447380299240525,0.14750749999999996,0.017597745590097632,0.6229166666666667,0.21115414881409153,8.2625,1.2183192933647546,9.032924166666666,1.3103627106926656,0.0098869021050632,0.0026352812102670067
main,dense,source_artifacts,0.05,0.8483888888888889,0.008358077299256746,0.023423770066679714,0.003460838355339536,0.7332916666666667,0.00942993165993854,0.2667083333333333,0.009429931659938532,0.2667083333333333,0.009429931659938532,0.02034722222222222,0.0030041191668791897,0.06627777777777778,0.0032773069341672507,0.1312638888888889,0.00775370910424774,0.2985,0.013911793978344649,42.221125,1.8586117971486136,0.7207112499999994,0.03249264078567059,3.0520833333333335,0.45061787503187845,39.37916666666666,2.3261127312743235,43.15196125,2.4010741227882475,0.012220760248601437,0.0004988182068545858
main,dense,source_artifacts,0.1,0.7253333333333334,0.010693675448922482,0.053028947253151854,0.005481063328960952,0.529125,0.012361735315076105,0.470875,0.012361735315076115,0.470875,0.012361735315076115,0.04061805555555555,0.004247384577270872,0.1303125,0.003936342422435665,0.2340486111111111,0.010425023450998378,0.5914583333333333,0.024085427578463856,79.28904166666666,3.069121756046129,1.3843487499999956,0.0547571024843167,6.092708333333333,0.6371076865906309,70.21458333333334,3.127507035299513,77.69164041666666,3.138828869609182,0.016840418800711632,0.001495713177182402
