day,attempt_cost,p_error,p_irrec,burden
980,13.239545504029168,0.0,0.6634097247934363,79.5805179833728
987,13.226949877556839,0.0,0.6660174946826554,79.82869934582237
994,13.214054840661973,0.0,0.6686050605900719,80.07456089966915
1001,13.200865788832523,0.0,0.67117257904824,80.31812369365653
1008,13.187388051924433,0.0,0.6737202053769605,80.55940858962049
1015,13.173626894854742,0.0,0.6762480936926771,80.79843626412244
1022,13.159587518287891,0.0,0.6787563969177995,81.03522721006784
1029,13.145275059315328,0.0,0.6812452667899545,81.26980173831078
1036,13.130694592128384,0.0,0.6837148538711648,81.50217997924486
1043,13.115851128684591,0.0,0.6861653075569578,81.73238188438037
1050,13.100749619367413,0.0,0.6885967760854024,81.96042722790764
1057,13.085394953639508,0.0,0.6910094065460768,82.18633560824719
1064,13.069791960689564,0.0,0.6934033448889674,82.4101264495863
1071,13.053945410072771,0.0,0.6957787359332959,82.63181900340236
1078,13.037860012344959,0.0,0.6981357233762826,82.85143234997322
1085,13.021540419690535,0.0,0.7004744498018368,83.06898539987422
1092,13.004991226544192,0.0,0.7027950566891843,83.28449689546262
