tag,profile,cls,p,seed,coverage,false_rate,chain_cov,recloss,irrec,error_links,irrec_links,no_cert_links,fallback,candidates,ed_effort,ed_error,ed_abstention,ed,secs
main,sparse,intent_links,0.1,8,0.9995833333333334,0.0,0.9975,0.0,0.0025,0.0,0.0004166666666666667,0.0004166666666666667,0.1275,6.375,0.19125,0.0,0.125,0.31625,0.002553749829530716
main,sparse,intent_links,0.1,9,0.99875,0.0,0.9925,0.0,0.0075,0.0,0.00125,0.00125,0.1125,5.625,0.16875,0.0,0.375,0.54375,0.0024586250074207783
main,sparse,intent_links,0.1,10,0.99875,0.0,0.9925,0.0,0.0075,0.0,0.00125,0.00125,0.07,3.5,0.105,0.0,0.375,0.48,0.0025074579752981663
main,sparse,intent_links,0.1,11,0.9995833333333334,0.0,0.9975,0.0,0.0025,0.0,0.0004166666666666667,0.0004166666666666667,0.075,3.75,0.1125,0.0,0.125,0.2375,0.002332750242203474
main,sparse,intent_links,0.1,12,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1275,6.375,0.19125,0.0,0.0,0.19125,0.002626500092446804
main,sparse,intent_links,0.1,13,0.9991666666666666,0.0,0.995,0.0,0.005,0.0,0.0008333333333333334,0.0008333333333333334,0.09,4.5,0.135,0.0,0.25,0.385,0.0023864172399044037
main,sparse,intent_links,0.1,14,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0825,4.125,0.12375,0.0,0.0,0.12375,0.0024875830858945847
main,sparse,intent_links,0.1,15,0.9995833333333334,0.0,0.9975,0.0,0.0025,0.0,0.0004166666666666667,0.0004166666666666667,0.1,5.0,0.15,0.0,0.125,0.275,0.0026146252639591694
main,sparse,intent_links,0.1,16,0.9991666666666666,0.0,0.995,0.0,0.005,0.0,0.0008333333333333334,0.0008333333333333334,0.135,6.75,0.2025,0.0,0.25,0.4525,0.002635583281517029
main,sparse,intent_links,0.1,17,0.99875,0.0,0.9925,0.0,0.0075,0.0,0.00125,0.00125,0.1025,5.125,0.15375,0.0,0.375,0.52875,0.002607624977827072
main,sparse,intent_links,0.1,18,0.9995833333333334,0.0,0.9975,0.0,0.0025,0.0,0.0004166666666666667,0.0004166666666666667,0.1425,7.125,0.21375,0.0,0.125,0.33875,0.0025080000050365925
main,sparse,intent_links,0.1,19,0.9991666666666666,0.0,0.995,0.0,0.005,0.0,0.0008333333333333334,0.0008333333333333334,0.1075,5.375,0.16125,0.0,0.25,0.41125,0.0028169997967779636
main,sparse,intent_links,0.2,0,0.99875,0.0,0.9925,0.0,0.0075,0.0,0.00125,0.00125,0.2,10.0,0.3,0.0,0.375,0.675,0.0027200421318411827
main,sparse,intent_links,0.2,1,0.9991666666666666,0.0,0.995,0.0,0.005,0.0,0.0008333333333333334,0.0008333333333333334,0.1575,7.875,0.23625,0.0,0.25,0.48625,0.002828124910593033
main,sparse,intent_links,0.2,2,0.9983333333333333,0.0,0.99,0.0,0.01,0.0,0.0016666666666666668,0.0016666666666666668,0.1925,9.625,0.28875,0.0,0.5,0.78875,0.0026965001598000526
main,sparse,intent_links,0.2,3,0.9991666666666666,0.0,0.995,0.0,0.005,0.0,0.0008333333333333334,0.0008333333333333334,0.2025,10.125,0.30375,0.0,0.25,0.55375,0.002794708125293255
main,sparse,intent_links,0.2,4,0.99875,0.0,0.9925,0.0,0.0075,0.0,0.00125,0.00125,0.1875,9.375,0.28125,0.0,0.375,0.65625,0.0026700831949710846
main,sparse,intent_links,0.2,5,0.9991666666666666,0.0,0.995,0.0,0.005,0.0,0.0008333333333333334,0.0008333333333333334,0.2025,10.125,0.30375,0.0,0.25,0.55375,0.002714166883379221
main,sparse,intent_links,0.2,6,0.9995833333333334,0.0,0.9975,0.0,0.0025,0.0,0.0004166666666666667,0.0004166666666666667,0.185,9.25,0.2775,0.0,0.125,0.4025,0.002724291756749153
main,sparse,intent_links,0.2,7,0.9979166666666667,0.0,0.9875,0.0,0.0125,0.0,0.0020833333333333333,0.0020833333333333333,0.2,10.0,0.3,0.0,0.625,0.925,0.002897874917834997
main,sparse,intent_links,0.2,8,0.99875,0.0,0.9925,0.0,0.0075,0.0,0.00125,0.00125,0.185,9.25,0.2775,0.0,0.375,0.6525,0.0029252921231091022
main,sparse,intent_links,0.2,9,0.9970833333333333,0.0,0.9825,0.0,0.0175,0.0,0.002916666666666667,0.002916666666666667,0.1675,8.375,0.25125,0.0,0.875,1.12625,0.0025926250964403152
main,sparse,intent_links,0.2,10,0.9975,0.0,0.985,0.0,0.015,0.0,0.0025,0.0025,0.1975,9.875,0.29625,0.0,0.75,1.04625,0.002917666919529438
main,sparse,intent_links,0.2,11,0.9979166666666667,0.0,0.9875,0.0,0.0125,0.0,0.0020833333333333333,0.0020833333333333333,0.195,9.75,0.2925,0.0,0.625,0.9175,0.0031328327022492886
main,sparse,intent_links,0.2,12,0.9983333333333333,0.0,0.99,0.0,0.01,0.0,0.0016666666666666668,0.0016666666666666668,0.1775,8.875,0.26625,0.0,0.5,0.76625,0.0027742921374738216
main,sparse,intent_links,0.2,13,0.9979166666666667,0.0,0.9875,0.0,0.0125,0.0,0.0020833333333333333,0.0020833333333333333,0.16,8.0,0.24,0.0,0.625,0.865,0.0026723751798272133
main,sparse,intent_links,0.2,14,0.99875,0.0,0.9925,0.0,0.0075,0.0,0.00125,0.00125,0.1875,9.375,0.28125,0.0,0.375,0.65625,0.002714000176638365
main,sparse,intent_links,0.2,15,0.99875,0.0,0.9925,0.0,0.0075,0.0,0.00125,0.00125,0.1925,9.625,0.28875,0.0,0.375,0.66375,0.003140541724860668
main,sparse,intent_links,0.2,16,0.9995833333333334,0.0,0.9975,0.0,0.0025,0.0,0.0004166666666666667,0.0004166666666666667,0.2075,10.375,0.31125,0.0,0.125,0.43625,0.002820208203047514
main,sparse,intent_links,0.2,17,0.99625,0.0,0.9775,0.0,0.0225,0.0,0.00375,0.00375,0.1925,9.625,0.28875,0.0,1.125,1.41375,0.0027596252039074898
main,sparse,intent_links,0.2,18,0.9979166666666667,0.0,0.9875,0.0,0.0125,0.0,0.0020833333333333333,0.0020833333333333333,0.2275,11.375,0.34125,0.0,0.625,0.96625,0.0029006251133978367
main,sparse,intent_links,0.2,19,0.9983333333333333,0.0,0.99,0.0,0.01,0.0,0.0016666666666666668,0.0016666666666666668,0.1925,9.625,0.28875,0.0,0.5,0.78875,0.002956707961857319
main,sparse,intent_links,0.4,0,0.99875,0.0,0.9925,0.0,0.0075,0.0,0.00125,0.00125,0.375,18.75,0.5625,0.0,0.375,0.9375,0.0033469167537987232
main,sparse,intent_links,0.4,1,0.9958333333333333,0.0,0.975,0.0,0.025,0.0,0.004166666666666667,0.004166666666666667,0.38,19.0,0.57,0.0,1.25,1.82,0.0034793750382959843
main,sparse,intent_links,0.4,2,0.9979166666666667,0.0,0.9875,0.0,0.0125,0.0,0.0020833333333333333,0.0020833333333333333,0.3825,19.125,0.57375,0.0,0.625,1.19875,0.0032458328641951084
main,sparse,intent_links,0.4,3,0.9966666666666667,0.0,0.98,0.0,0.02,0.0,0.0033333333333333335,0.0033333333333333335,0.4175,20.875,0.62625,0.0,1.0,1.62625,0.003725208807736635
main,sparse,intent_links,0.4,4,0.9945833333333334,0.0,0.9675,0.0,0.0325,0.0,0.005416666666666667,0.005416666666666667,0.455,22.75,0.6825,0.0,1.625,2.3075,0.003510749898850918
main,sparse,intent_links,0.4,5,0.9975,0.0,0.985,0.0,0.015,0.0,0.0025,0.0025,0.3775,18.875,0.56625,0.0,0.75,1.31625,0.0032634581439197063
main,sparse,intent_links,0.4,6,0.9966666666666667,0.0,0.98,0.0,0.02,0.0,0.0033333333333333335,0.0033333333333333335,0.405,20.25,0.6075,0.0,1.0,1.6075,0.003262625075876713
main,sparse,intent_links,0.4,7,0.9975,0.0,0.985,0.0,0.015,0.0,0.0025,0.0025,0.3475,17.375,0.52125,0.0,0.75,1.27125,0.0030935415998101234
main,sparse,intent_links,0.4,8,0.9983333333333333,0.0,0.99,0.0,0.01,0.0,0.0016666666666666668,0.0016666666666666668,0.4175,20.875,0.62625,0.0,0.5,1.12625,0.0038567916490137577
main,sparse,intent_links,0.4,9,0.9970833333333333,0.0,0.9825,0.0,0.0175,0.0,0.002916666666666667,0.002916666666666667,0.4325,21.625,0.64875,0.0,0.875,1.52375,0.003486915957182646
main,sparse,intent_links,0.4,10,0.9954166666666666,0.0,0.9725,0.0,0.0275,0.0,0.004583333333333333,0.004583333333333333,0.3725,18.625,0.55875,0.0,1.375,1.93375,0.0032217088155448437
main,sparse,intent_links,0.4,11,0.9958333333333333,0.0,0.975,0.0,0.025,0.0,0.004166666666666667,0.004166666666666667,0.3525,17.625,0.52875,0.0,1.25,1.77875,0.003700832836329937
main,sparse,intent_links,0.4,12,0.9983333333333333,0.0,0.99,0.0,0.01,0.0,0.0016666666666666668,0.0016666666666666668,0.425,21.25,0.6375,0.0,0.5,1.1375,0.004090290982276201
main,sparse,intent_links,0.4,13,0.9975,0.0,0.985,0.0,0.015,0.0,0.0025,0.0025,0.3875,19.375,0.58125,0.0,0.75,1.33125,0.0036162501201033592
main,sparse,intent_links,0.4,14,0.9975,0.0,0.985,0.0,0.015,0.0,0.0025,0.0025,0.365,18.25,0.5475,0.0,0.75,1.2975,0.003974542021751404
main,sparse,intent_links,0.4,15,0.9975,0.0,0.985,0.0,0.015,0.0,0.0025,0.0025,0.36,18.0,0.54,0.0,0.75,1.29,0.003188458736985922
main,sparse,intent_links,0.4,16,0.9966666666666667,0.0,0.98,0.0,0.02,0.0,0.0033333333333333335,0.0033333333333333335,0.4,20.0,0.6,0.0,1.0,1.6,0.003829041961580515
main,sparse,intent_links,0.4,17,0.9979166666666667,0.0,0.9875,0.0,0.0125,0.0,0.0020833333333333333,0.0020833333333333333,0.385,19.25,0.5775,0.0,0.625,1.2025,0.004316125065088272
main,sparse,intent_links,0.4,18,0.9958333333333333,0.0,0.975,0.0,0.025,0.0,0.004166666666666667,0.004166666666666667,0.36,18.0,0.54,0.0,1.25,1.79,0.0034694583155214787
main,sparse,intent_links,0.4,19,0.9975,0.0,0.985,0.0,0.015,0.0,0.0025,0.0025,0.435,21.75,0.6525,0.0,0.75,1.4025,0.0034605832770466805
main,sparse,approval_links,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026517920196056366
main,sparse,approval_links,0.0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022854162380099297
main,sparse,approval_links,0.0,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023765000514686108
main,sparse,approval_links,0.0,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002263459376990795
main,sparse,approval_links,0.0,4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030002910643815994
