profile,p,seed,total_links,ids_usable,time_usable,union_usable,premise_links,only_union_loss,premise_rate,only_union_loss_rate,conditional_loss
sparse,0.2,5,2400,2331,2400,2303,2331,32,0.97125,0.013333333333333334,0.013728013728013728
sparse,0.2,6,2400,2342,2400,2323,2342,26,0.9758333333333333,0.010833333333333334,0.011101622544833475
sparse,0.2,7,2400,2346,2400,2313,2346,37,0.9775,0.015416666666666667,0.01577152600170503
sparse,0.2,8,2400,2320,2400,2292,2320,34,0.9666666666666667,0.014166666666666666,0.014655172413793103
sparse,0.2,9,2400,2351,2400,2323,2351,34,0.9795833333333334,0.014166666666666666,0.01446193109315185
sparse,0.2,10,2400,2341,2400,2322,2341,29,0.9754166666666667,0.012083333333333333,0.012387868432293891
sparse,0.2,11,2400,2337,2400,2317,2337,26,0.97375,0.010833333333333334,0.011125374411638854
sparse,0.2,12,2400,2339,2400,2315,2339,32,0.9745833333333334,0.013333333333333334,0.013681060282171868
sparse,0.2,13,2400,2346,2400,2322,2346,31,0.9775,0.012916666666666667,0.013213981244671782
sparse,0.2,14,2400,2346,2400,2321,2346,28,0.9775,0.011666666666666667,0.011935208866155157
sparse,0.2,15,2400,2331,2400,2312,2331,33,0.97125,0.01375,0.014157014157014158
sparse,0.2,16,2400,2333,2400,2310,2333,29,0.9720833333333333,0.012083333333333333,0.012430347192456065
sparse,0.2,17,2400,2339,2400,2317,2339,29,0.9745833333333334,0.012083333333333333,0.012398460880718255
sparse,0.2,18,2400,2346,2400,2329,2346,27,0.9775,0.01125,0.011508951406649617
sparse,0.2,19,2400,2345,2400,2318,2345,36,0.9770833333333333,0.015,0.01535181236673774
sparse,0.4,0,2400,2253,2400,2099,2253,178,0.93875,0.07416666666666667,0.079005770084332
sparse,0.4,1,2400,2237,2400,2106,2237,155,0.9320833333333334,0.06458333333333334,0.06928922664282522
sparse,0.4,2,2400,2270,2400,2150,2270,135,0.9458333333333333,0.05625,0.05947136563876652
sparse,0.4,3,2400,2246,2400,2111,2246,154,0.9358333333333333,0.06416666666666666,0.06856634016028496
sparse,0.4,4,2400,2235,2400,2125,2235,126,0.93125,0.0525,0.056375838926174496
sparse,0.4,5,2400,2232,2400,2120,2232,132,0.93,0.055,0.05913978494623656
sparse,0.4,6,2400,2237,2400,2112,2237,146,0.9320833333333334,0.060833333333333336,0.06526598122485472
sparse,0.4,7,2400,2261,2400,2096,2261,177,0.9420833333333334,0.07375,0.07828394515701018
sparse,0.4,8,2400,2247,2400,2130,2247,135,0.93625,0.05625,0.06008010680907877
sparse,0.4,9,2400,2244,2400,2106,2244,154,0.935,0.06416666666666666,0.06862745098039216
sparse,0.4,10,2400,2236,2400,2126,2236,134,0.9316666666666666,0.05583333333333333,0.05992844364937388
sparse,0.4,11,2400,2244,2400,2136,2244,133,0.935,0.05541666666666667,0.059269162210338684
sparse,0.4,12,2400,2248,2400,2119,2248,145,0.9366666666666666,0.06041666666666667,0.0645017793594306
sparse,0.4,13,2400,2224,2400,2116,2224,130,0.9266666666666666,0.05416666666666667,0.05845323741007194
sparse,0.4,14,2400,2255,2400,2114,2255,155,0.9395833333333333,0.06458333333333334,0.06873614190687362
sparse,0.4,15,2400,2224,2400,2116,2224,129,0.9266666666666666,0.05375,0.05800359712230216
sparse,0.4,16,2400,2234,2400,2114,2234,141,0.9308333333333333,0.05875,0.06311548791405551
sparse,0.4,17,2400,2257,2400,2134,2257,146,0.9404166666666667,0.060833333333333336,0.06468763845813026
sparse,0.4,18,2400,2254,2400,2122,2254,149,0.9391666666666667,0.06208333333333333,0.06610470275066549
sparse,0.4,19,2400,2254,2400,2118,2254,155,0.9391666666666667,0.06458333333333334,0.06876663708961846
dense,0.0,0,7200,7200,7200,7200,7200,0,1.0,0.0,0.0
dense,0.0,1,7200,7200,7200,7200,7200,0,1.0,0.0,0.0
dense,0.0,2,7200,7200,7200,7200,7200,0,1.0,0.0,0.0
dense,0.0,3,7200,7200,7200,7200,7200,0,1.0,0.0,0.0
dense,0.0,4,7200,7200,7200,7200,7200,0,1.0,0.0,0.0
dense,0.0,5,7200,7200,7200,7200,7200,0,1.0,0.0,0.0
dense,0.0,6,7200,7200,7200,7200,7200,0,1.0,0.0,0.0
dense,0.0,7,7200,7200,7200,7200,7200,0,1.0,0.0,0.0
dense,0.0,8,7200,7200,7200,7200,7200,0,1.0,0.0,0.0
dense,0.0,9,7200,7200,7200,7200,7200,0,1.0,0.0,0.0
dense,0.0,10,7200,7200,7200,7200,7200,0,1.0,0.0,0.0
dense,0.0,11,7200,7200,7200,7200,7200,0,1.0,0.0,0.0
dense,0.0,12,7200,7200,7200,7200,7200,0,1.0,0.0,0.0
dense,0.0,13,7200,7200,7200,7200,7200,0,1.0,0.0,0.0
dense,0.0,14,7200,7200,7200,7200,7200,0,1.0,0.0,0.0
