profile,p,lambda,pi,cls,effort,error,abstention,ed,rank
dense,0.4,25.0,25.0,approval_links,1.0027083333333333,0.0,9.639583333333333,10.642291666666665,5
dense,0.4,25.0,25.0,correlation_ids,2.4303125,0.0,66.865625,69.2959375,3
dense,0.4,25.0,25.0,source_artifacts,3.960467499999999,19.164583333333336,86.75104166666667,109.8760925,2
dense,0.4,25.0,25.0,timestamps,0.0,0.0,0.0,0.0,7
dense,0.4,25.0,25.0,ids_plus_timestamps,1.7018541666666667,4.033333333333333,63.21041666666667,68.94560416666667,4
dense,0.4,25.0,25.0,combined,3.2523470833333343,11.672916666666666,107.54687500000001,122.47213875000001,1
dense,0.4,50.0,25.0,intent_links,1.0027083333333333,0.0,4.203125000000001,5.205833333333334,6
dense,0.4,50.0,25.0,approval_links,1.0027083333333333,0.0,9.639583333333333,10.642291666666665,5
dense,0.4,50.0,25.0,correlation_ids,2.4303125,0.0,66.865625,69.2959375,4
dense,0.4,50.0,25.0,source_artifacts,3.960467499999999,38.32916666666667,86.75104166666667,129.04067583333335,2
dense,0.4,50.0,25.0,timestamps,0.0,0.0,0.0,0.0,7
dense,0.4,50.0,25.0,ids_plus_timestamps,1.7018541666666667,8.066666666666666,63.21041666666667,72.9789375,3
dense,0.4,50.0,25.0,combined,3.2523470833333343,23.34583333333333,107.54687500000001,134.14505541666668,1
dense,0.4,100.0,25.0,intent_links,1.0027083333333333,0.0,4.203125000000001,5.205833333333334,6
dense,0.4,100.0,25.0,approval_links,1.0027083333333333,0.0,9.639583333333333,10.642291666666665,5
dense,0.4,100.0,25.0,correlation_ids,2.4303125,0.0,66.865625,69.2959375,4
dense,0.4,100.0,25.0,source_artifacts,3.960467499999999,76.65833333333335,86.75104166666667,167.3698425,1
dense,0.4,100.0,25.0,timestamps,0.0,0.0,0.0,0.0,7
dense,0.4,100.0,25.0,ids_plus_timestamps,1.7018541666666667,16.133333333333333,63.21041666666667,81.04560416666666,3
dense,0.4,100.0,25.0,combined,3.2523470833333343,46.69166666666666,107.54687500000001,157.49088875,2
dense,0.4,0.0,50.0,intent_links,1.0027083333333333,0.0,8.406250000000002,9.408958333333334,6
dense,0.4,0.0,50.0,approval_links,1.0027083333333333,0.0,19.279166666666665,20.281875,5
dense,0.4,0.0,50.0,correlation_ids,2.4303125,0.0,133.73125,136.1615625,3
dense,0.4,0.0,50.0,source_artifacts,3.960467499999999,0.0,173.50208333333333,177.46255083333332,2
dense,0.4,0.0,50.0,timestamps,0.0,0.0,0.0,0.0,7
dense,0.4,0.0,50.0,ids_plus_timestamps,1.7018541666666667,0.0,126.42083333333333,128.1226875,4
dense,0.4,0.0,50.0,combined,3.2523470833333343,0.0,215.09375000000003,218.34609708333338,1
dense,0.4,10.0,50.0,intent_links,1.0027083333333333,0.0,8.406250000000002,9.408958333333334,6
dense,0.4,10.0,50.0,approval_links,1.0027083333333333,0.0,19.279166666666665,20.281875,5
dense,0.4,10.0,50.0,correlation_ids,2.4303125,0.0,133.73125,136.1615625,3
dense,0.4,10.0,50.0,source_artifacts,3.960467499999999,7.6658333333333335,173.50208333333333,185.12838416666665,2
dense,0.4,10.0,50.0,timestamps,0.0,0.0,0.0,0.0,7
